,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Ore,HF,1175.00_47_24,250.00,700.00,60.75,1.63,4.46,0.04,0.06,6.81
Ore,HF,1175.00_47_23,499.57,"1,398.79",60.51,1.74,4.31,0.05,0.06,7.06
Ore,HF,1175.00_47_22,248.59,696.05,60.27,1.72,4.36,0.06,0.06,7.13
Ore,HF,1175.00_46_28,76.03,212.88,63.18,1.86,2.73,0.05,0.06,4.63
Ore,HF,1175.00_46_27,500.00,"1,400.00",62.94,1.78,2.86,0.04,0.06,5.00
Ore,HF,1175.00_46_26,250.00,700.00,63.00,1.56,2.82,0.03,0.06,5.35
Ore,HF,1175.00_46_25,125.00,350.00,60.29,1.40,5.83,0.03,0.06,6.45
Ore,HF,1175.00_46_24,498.01,"1,394.44",60.61,1.40,5.22,0.04,0.06,6.58
Ore,HF,1175.00_46_23,490.30,"1,372.83",60.47,1.67,4.61,0.05,0.06,7.06
Ore,HF,1175.00_46_22,486.38,"1,361.85",61.20,1.58,3.69,0.04,0.06,7.05
Ore,HF,1175.00_45_28,31.56,88.37,63.56,1.60,2.46,0.04,0.06,4.54
Ore,HF,1175.00_45_27,178.93,501.00,63.06,1.69,2.77,0.04,0.06,4.98
Ore,HF,1175.00_45_26,175.21,490.59,62.50,1.60,3.25,0.02,0.07,5.65
Ore,HF,1175.00_45_25,186.33,521.72,61.15,1.44,4.88,0.02,0.07,6.11
Ore,HF,1175.00_45_24,194.35,544.18,60.98,1.31,5.15,0.03,0.06,6.21
Ore,HF,1175.00_45_23,202.89,568.10,61.97,1.23,3.82,0.03,0.06,6.13
Ore,HF,1175.00_45_22,105.27,294.76,61.78,1.41,3.43,0.03,0.06,6.66
Ore,HF,1175.00_45_18,89.86,251.62,61.11,1.96,3.33,0.08,0.07,6.58
Ore,HF,1175.00_45_17,77.91,218.14,61.11,2.09,3.34,0.09,0.07,6.36
Ore,HF,1175.00_44_27,27.70,77.57,62.61,1.39,2.87,0.04,0.08,5.22
Ore,HF,1175.00_43_27,11.56,32.37,62.45,1.30,2.96,0.05,0.08,5.23
Ore,HF,1175.00_42_27,21.11,59.12,63.11,1.11,2.45,0.02,0.10,5.52
Ore,HF,1175.00_42_26,4.26,11.92,61.71,1.36,3.22,0.03,0.10,6.41
Ore,HF,1175.00_41_27,80.86,226.41,62.29,1.00,2.83,0.01,0.12,6.64
Ore,HF,1175.00_41_26,16.63,46.57,61.62,1.07,3.25,0.02,0.11,7.07
Ore,HF,1175.00_40_27,74.39,208.30,61.81,1.01,3.11,0.01,0.13,6.93
Ore,HF,1175.00_39_27,1.73,4.85,62.11,1.03,3.29,0.02,0.10,6.20
Ore,HF,1175.00_38_24,184.64,517.00,60.82,1.49,2.61,0.04,0.09,8.43
Ore,HF,1175.00_38_23,66.39,185.90,60.83,1.47,2.46,0.05,0.09,8.51
Ore,HF,1175.00_37_24,231.14,647.20,60.90,1.50,2.76,0.04,0.08,8.16
Ore,HF,1175.00_36_26,23.88,66.85,61.95,1.07,3.49,0.02,0.08,6.24
Ore,HF,1175.00_35_26,4.22,11.82,61.88,1.03,3.65,0.02,0.08,6.22
Ore,HF,1175.00_21_22,0.03,0.08,61.70,2.39,1.27,0.12,0.10,7.41
Ore,HF,1175.00_21_21,83.31,233.28,61.70,2.40,1.28,0.11,0.10,7.39
Ore,HF,1175.00_20_21,291.07,815.00,61.74,2.35,1.21,0.12,0.10,7.46
Ore,HF,1175.00_19_21,156.75,438.91,61.80,2.29,1.13,0.13,0.10,7.53
Ore,HF Total,,"33,914.66","94,961.04",61.76,1.54,3.08,0.04,0.08,6.53
Ore,IFR,1205.00_34_27,0.56,1.56,56.86,0.75,8.63,0.01,0.09,8.42
Ore,IFR,1205.00_33_28,184.59,516.85,56.94,0.75,8.79,0.01,0.08,8.51
Ore,IFR,1205.00_33_27,47.64,133.39,56.88,0.75,8.96,0.01,0.07,8.55
Ore,IFR,1205.00_33_26,2.42,6.77,57.49,0.67,8.63,0.01,0.06,8.38
Ore,IFR,1205.00_32_28,125.00,350.00,57.45,0.77,8.34,0.01,0.08,8.74
Ore,IFR,1205.00_32_27,405.76,"1,136.13",57.42,0.76,8.35,0.01,0.08,8.74
Ore,IFR,1205.00_32_26,76.68,214.71,57.68,0.70,8.13,0.01,0.08,8.63
Ore,IFR,1205.00_18_20,125.00,350.00,55.99,2.66,5.38,0.09,0.08,11.01
Ore,IFR,1205.00_18_19,250.00,700.00,55.88,2.72,5.36,0.09,0.08,11.15
Ore,IFR,1205.00_18_18,375.00,"1,050.00",55.85,2.70,5.32,0.09,0.08,11.25
Ore,IFR,1205.00_17_21,125.00,350.00,56.22,2.55,5.38,0.08,0.08,10.78
Ore,IFR,1205.00_17_20,500.00,"1,400.00",56.06,2.63,5.38,0.09,0.08,10.94
Ore,IFR,1205.00_17_19,500.00,"1,400.00",55.90,2.71,5.38,0.09,0.08,11.11
Ore,IFR,1205.00_17_18,500.00,"1,400.00",55.82,2.75,5.36,0.09,0.08,11.21
Ore,IFR,1205.00_17_17,500.00,"1,400.00",56.44,2.52,4.68,0.10,0.09,11.24
Ore,IFR,1205.00_17_16,125.00,350.00,56.21,3.10,4.64,0.10,0.09,11.06
Ore,IFR,1205.00_16_21,500.00,"1,400.00",56.32,2.52,5.38,0.08,0.08,10.68
Ore,IFR,1205.00_16_20,500.00,"1,400.00",56.14,2.61,5.38,0.08,0.08,10.87
Ore,IFR,1205.00_16_19,500.00,"1,400.00",56.00,2.68,5.38,0.09,0.08,11.01
Ore,IFR,1205.00_16_18,500.00,"1,400.00",55.92,2.72,5.35,0.09,0.08,11.10
Ore,IFR,1205.00_16_17,500.00,"1,400.00",56.71,2.42,4.44,0.11,0.09,11.21
Ore,IFR,1205.00_16_16,250.00,700.00,56.39,3.22,4.39,0.10,0.09,10.97
